Java HotSpot(TM) 64-Bit Server VM (25.161-b12) for bsd-amd64 JRE (1.8.0_161-b12), built on Dec 19 2017 16:22:20 by "java_re" with gcc 4.2.1 (Based on Apple Inc. build 5658) (LLVM build 2336.11.00)
Memory: 4k page, physical 16777216k(373544k free)

/proc/meminfo:

CommandLine flags: -XX:+HeapDumpOnOutOfMemoryError -XX:HeapDumpPath=/Users/colonelhou/Documents/company/wksp/MacOS-JAVA/src/main/java/com/java/jvm/hprof -XX:InitialHeapSize=10485760 -XX:MaxHeapSize=10485760 -XX:MaxNewSize=2097152 -XX:NewSize=2097152 -XX:+PrintGC -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:SurvivorRatio=8 -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:+UseParallelGC 
0.139: [GC (Allocation Failure) [PSYoungGen: 1024K->506K(1536K)] 1024K->530K(9728K), 0.0012948 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.950: [GC (Allocation Failure) [PSYoungGen: 1131K->392K(1536K)] 6624K->5884K(9728K), 0.0023564 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
0.953: [GC (Allocation Failure) [PSYoungGen: 1132K->392K(1536K)] 6625K->6065K(9728K), 0.0010852 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.954: [GC (Allocation Failure) [PSYoungGen: 1133K->392K(1536K)] 6806K->6065K(9728K), 0.0011302 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.956: [GC (Allocation Failure) [PSYoungGen: 1134K->393K(1536K)] 6807K->6065K(9728K), 0.0016449 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.958: [GC (Allocation Failure) [PSYoungGen: 1135K->393K(1536K)] 6808K->6066K(9728K), 0.0016714 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
0.960: [GC (Allocation Failure) [PSYoungGen: 1136K->393K(1536K)] 6809K->6066K(9728K), 0.0010095 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.961: [GC (Allocation Failure) [PSYoungGen: 1137K->394K(1536K)] 6810K->6066K(9728K), 0.0120063 secs] [Times: user=0.00 sys=0.00, real=0.02 secs] 
0.973: [GC (Allocation Failure) [PSYoungGen: 1138K->394K(1536K)] 6811K->6067K(9728K), 0.0053639 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.979: [GC (Allocation Failure) [PSYoungGen: 1139K->394K(1536K)] 6812K->6067K(9728K), 0.0019399 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.982: [GC (Allocation Failure) [PSYoungGen: 1140K->394K(1536K)] 6813K->6067K(9728K), 0.0018253 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
0.984: [GC (Allocation Failure) [PSYoungGen: 1141K->395K(1536K)] 6814K->6068K(9728K), 0.0019199 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.986: [GC (Allocation Failure) [PSYoungGen: 1142K->395K(1536K)] 6814K->6068K(9728K), 0.0027543 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.990: [GC (Allocation Failure) [PSYoungGen: 1143K->395K(1536K)] 6815K->6068K(9728K), 0.0011478 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.991: [GC (Allocation Failure) [PSYoungGen: 1144K->396K(1536K)] 6816K->6069K(9728K), 0.0015839 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
0.993: [GC (Allocation Failure) [PSYoungGen: 1145K->396K(1536K)] 6817K->6069K(9728K), 0.0009758 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
0.994: [GC (Allocation Failure) [PSYoungGen: 1145K->396K(1536K)] 6818K->6252K(9728K), 0.0008037 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.995: [GC (Allocation Failure) [PSYoungGen: 1146K->397K(1536K)] 7002K->6252K(9728K), 0.0011844 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.997: [GC (Allocation Failure) [PSYoungGen: 1147K->397K(1536K)] 7003K->6252K(9728K), 0.0089467 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
1.006: [GC (Allocation Failure) [PSYoungGen: 1148K->397K(1536K)] 7004K->6253K(9728K), 0.0032183 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.010: [GC (Allocation Failure) [PSYoungGen: 1149K->398K(1536K)] 7005K->6253K(9728K), 0.0013593 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
1.012: [GC (Allocation Failure) [PSYoungGen: 1150K->398K(1536K)] 7006K->6253K(9728K), 0.0016641 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
1.014: [GC (Allocation Failure) [PSYoungGen: 1151K->398K(1536K)] 7007K->6254K(9728K), 0.0010333 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.015: [GC (Allocation Failure) [PSYoungGen: 1152K->399K(1536K)] 7008K->6254K(9728K), 0.0053196 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.020: [GC (Allocation Failure) [PSYoungGen: 1153K->399K(1536K)] 7008K->6254K(9728K), 0.0016511 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.022: [GC (Allocation Failure) [PSYoungGen: 1154K->399K(1536K)] 7009K->6255K(9728K), 0.0040565 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
1.027: [GC (Allocation Failure) [PSYoungGen: 1155K->400K(1536K)] 7010K->6255K(9728K), 0.0020000 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.029: [GC (Allocation Failure) [PSYoungGen: 1156K->400K(1536K)] 7011K->6255K(9728K), 0.0023772 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.031: [GC (Allocation Failure) [PSYoungGen: 1157K->400K(1536K)] 7012K->6256K(9728K), 0.0012795 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.033: [GC (Allocation Failure) [PSYoungGen: 1158K->401K(1536K)] 7013K->6256K(9728K), 0.0019737 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.035: [GC (Allocation Failure) [PSYoungGen: 1159K->401K(1536K)] 7014K->6256K(9728K), 0.0010416 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.037: [GC (Allocation Failure) [PSYoungGen: 1160K->401K(1536K)] 7015K->6257K(9728K), 0.0023363 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
1.039: [GC (Allocation Failure) [PSYoungGen: 1161K->402K(1536K)] 7016K->6257K(9728K), 0.0014712 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.041: [GC (Allocation Failure) [PSYoungGen: 1162K->402K(1536K)] 7017K->6257K(9728K), 0.0003784 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.041: [GC (Allocation Failure) [PSYoungGen: 1163K->402K(1536K)] 7018K->6257K(9728K), 0.0015780 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
1.043: [GC (Allocation Failure) [PSYoungGen: 1164K->402K(1536K)] 7019K->6258K(9728K), 0.0019574 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.045: [GC (Allocation Failure) [PSYoungGen: 1165K->403K(1536K)] 7020K->6258K(9728K), 0.0024106 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
1.048: [GC (Allocation Failure) [PSYoungGen: 1166K->403K(1536K)] 7021K->6258K(9728K), 0.0016032 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.050: [GC (Allocation Failure) [PSYoungGen: 1167K->403K(1536K)] 7022K->6259K(9728K), 0.0010183 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.051: [GC (Allocation Failure) [PSYoungGen: 1168K->404K(1536K)] 7023K->6259K(9728K), 0.0019964 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
1.053: [GC (Allocation Failure) [PSYoungGen: 1169K->404K(1536K)] 7024K->6259K(9728K), 0.0010033 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.055: [GC (Allocation Failure) [PSYoungGen: 1170K->404K(1536K)] 7025K->6260K(9728K), 0.0016184 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
1.056: [GC (Allocation Failure) [PSYoungGen: 1170K->405K(1536K)] 7026K->6260K(9728K), 0.0016389 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.058: [GC (Allocation Failure) [PSYoungGen: 1171K->405K(1536K)] 7027K->6260K(9728K), 0.0010861 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.060: [GC (Allocation Failure) [PSYoungGen: 1172K->405K(1536K)] 7028K->6261K(9728K), 0.0013654 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.061: [GC (Allocation Failure) [PSYoungGen: 1173K->406K(1536K)] 7029K->6261K(9728K), 0.0019977 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
1.063: [GC (Allocation Failure) [PSYoungGen: 1174K->406K(1536K)] 7030K->6261K(9728K), 0.0012378 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.065: [GC (Allocation Failure) [PSYoungGen: 1175K->406K(1536K)] 7031K->6262K(9728K), 0.0016568 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
1.067: [GC (Allocation Failure) [PSYoungGen: 1176K->407K(1536K)] 7032K->6262K(9728K), 0.0019859 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.069: [GC (Allocation Failure) [PSYoungGen: 1177K->407K(1536K)] 7033K->6262K(9728K), 0.0014641 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.071: [GC (Allocation Failure) [PSYoungGen: 1178K->407K(1536K)] 7033K->6263K(9728K), 0.0017750 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.073: [GC (Allocation Failure) [PSYoungGen: 1179K->408K(1536K)] 7034K->6263K(9728K), 0.0021279 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
1.075: [GC (Allocation Failure) [PSYoungGen: 1180K->408K(1536K)] 7035K->6263K(9728K), 0.0012934 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
1.077: [GC (Allocation Failure) [PSYoungGen: 1181K->408K(1536K)] 7036K->6264K(9728K), 0.0037105 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.081: [GC (Allocation Failure) [PSYoungGen: 1182K->409K(1536K)] 7037K->6264K(9728K), 0.0021056 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.083: [GC (Allocation Failure) [PSYoungGen: 1183K->409K(1536K)] 7038K->6264K(9728K), 0.0010218 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.084: [GC (Allocation Failure) [PSYoungGen: 1184K->409K(1536K)] 7039K->6265K(9728K), 0.0013167 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.086: [GC (Allocation Failure) [PSYoungGen: 1185K->410K(1536K)] 7040K->6265K(9728K), 0.0021353 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
1.088: [GC (Allocation Failure) [PSYoungGen: 1186K->410K(1536K)] 7041K->6265K(9728K), 0.0010832 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.089: [GC (Allocation Failure) [PSYoungGen: 1187K->410K(1536K)] 7042K->6265K(9728K), 0.0010050 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.091: [GC (Allocation Failure) [PSYoungGen: 1188K->410K(1536K)] 7043K->6266K(9728K), 0.0012703 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.092: [GC (Allocation Failure) [PSYoungGen: 1189K->411K(1536K)] 7044K->6266K(9728K), 0.0014478 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
1.094: [GC (Allocation Failure) [PSYoungGen: 1190K->411K(1536K)] 7045K->6266K(9728K), 0.0020189 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
1.096: [GC (Allocation Failure) [PSYoungGen: 1191K->411K(1536K)] 7046K->6267K(9728K), 0.0015291 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.098: [GC (Allocation Failure) [PSYoungGen: 1192K->412K(1536K)] 7047K->6267K(9728K), 0.0009748 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.099: [GC (Allocation Failure) [PSYoungGen: 1193K->412K(1536K)] 7048K->6267K(9728K), 0.0016261 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.101: [GC (Allocation Failure) [PSYoungGen: 1194K->412K(1536K)] 7049K->6268K(9728K), 0.0024638 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
1.104: [GC (Allocation Failure) [PSYoungGen: 1194K->413K(1536K)] 7050K->6268K(9728K), 0.0014676 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.105: [GC (Allocation Failure) [PSYoungGen: 1195K->413K(1536K)] 7051K->6268K(9728K), 0.0015156 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
1.107: [GC (Allocation Failure) [PSYoungGen: 1196K->413K(1536K)] 7052K->6269K(9728K), 0.0016105 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.109: [GC (Allocation Failure) [PSYoungGen: 1197K->414K(1536K)] 7053K->6269K(9728K), 0.0019946 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.111: [GC (Allocation Failure) [PSYoungGen: 1198K->414K(1536K)] 7054K->6269K(9728K), 0.0032000 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
1.114: [GC (Allocation Failure) [PSYoungGen: 1199K->414K(1536K)] 7055K->6270K(9728K), 0.0011435 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.116: [GC (Allocation Failure) [PSYoungGen: 1200K->415K(1536K)] 7056K->6270K(9728K), 0.0017496 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
1.118: [GC (Allocation Failure) [PSYoungGen: 1201K->415K(1536K)] 7057K->6270K(9728K), 0.0025187 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.121: [GC (Allocation Failure) [PSYoungGen: 1202K->415K(1536K)] 7058K->6463K(9728K), 0.0006872 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.121: [GC (Allocation Failure) [PSYoungGen: 1203K->416K(1536K)] 7250K->6463K(9728K), 0.0031887 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
1.125: [GC (Allocation Failure) [PSYoungGen: 1204K->416K(1536K)] 7251K->6463K(9728K), 0.0014120 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.127: [GC (Allocation Failure) [PSYoungGen: 1205K->416K(1536K)] 7252K->6463K(9728K), 0.0017686 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.129: [GC (Allocation Failure) [PSYoungGen: 1206K->417K(1536K)] 7253K->6464K(9728K), 0.0010792 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
1.130: [GC (Allocation Failure) [PSYoungGen: 1207K->417K(1536K)] 7254K->6464K(9728K), 0.0027628 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.133: [GC (Allocation Failure) [PSYoungGen: 1208K->417K(1536K)] 7255K->6464K(9728K), 0.0043409 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.137: [GC (Allocation Failure) [PSYoungGen: 1209K->418K(1536K)] 7256K->6465K(9728K), 0.0034172 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.141: [GC (Allocation Failure) [PSYoungGen: 1210K->418K(1536K)] 7257K->6465K(9728K), 0.0011008 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.142: [GC (Allocation Failure) [PSYoungGen: 1211K->418K(1536K)] 7258K->6465K(9728K), 0.0015435 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
1.144: [GC (Allocation Failure) [PSYoungGen: 1212K->419K(1536K)] 7259K->6466K(9728K), 0.0042052 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.149: [GC (Allocation Failure) [PSYoungGen: 1213K->419K(1536K)] 7260K->6466K(9728K), 0.0022017 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.151: [GC (Allocation Failure) [PSYoungGen: 1214K->419K(1536K)] 7261K->6466K(9728K), 0.0105536 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
1.163: [GC (Allocation Failure) [PSYoungGen: 1215K->419K(1536K)] 7262K->6467K(9728K), 0.0017054 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
1.165: [GC (Allocation Failure) [PSYoungGen: 1216K->420K(1536K)] 7263K->6467K(9728K), 0.0011827 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.167: [GC (Allocation Failure) [PSYoungGen: 1217K->420K(1536K)] 7264K->6467K(9728K), 0.0053294 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.172: [GC (Allocation Failure) [PSYoungGen: 1218K->420K(1536K)] 7265K->6468K(9728K), 0.0016615 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
1.174: [GC (Allocation Failure) [PSYoungGen: 1219K->421K(1536K)] 7266K->6468K(9728K), 0.0028210 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.177: [GC (Allocation Failure) [PSYoungGen: 1219K->421K(1536K)] 7267K->6468K(9728K), 0.0038756 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.181: [GC (Allocation Failure) [PSYoungGen: 1220K->421K(1536K)] 7268K->6469K(9728K), 0.0019595 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
1.183: [GC (Allocation Failure) [PSYoungGen: 1221K->422K(1536K)] 7269K->6469K(9728K), 0.0062475 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.190: [GC (Allocation Failure) [PSYoungGen: 1222K->422K(1536K)] 7270K->6469K(9728K), 0.0014610 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.192: [GC (Allocation Failure) [PSYoungGen: 1223K->422K(1536K)] 7271K->6470K(9728K), 0.0028382 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
1.195: [GC (Allocation Failure) [PSYoungGen: 1224K->423K(1536K)] 7272K->6470K(9728K), 0.0010980 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.196: [GC (Allocation Failure) [PSYoungGen: 1225K->423K(1536K)] 7272K->6470K(9728K), 0.0064180 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
1.203: [GC (Allocation Failure) [PSYoungGen: 1226K->423K(1536K)] 7273K->6471K(9728K), 0.0022876 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
1.205: [GC (Allocation Failure) [PSYoungGen: 1227K->424K(1536K)] 7274K->6471K(9728K), 0.0021665 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.208: [GC (Allocation Failure) [PSYoungGen: 1228K->424K(1536K)] 7275K->6471K(9728K), 0.0027925 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.211: [GC (Allocation Failure) [PSYoungGen: 1229K->424K(1536K)] 7276K->6471K(9728K), 0.0014952 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.212: [GC (Allocation Failure) [PSYoungGen: 1230K->425K(1536K)] 7277K->6472K(9728K), 0.0033009 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
1.216: [GC (Allocation Failure) [PSYoungGen: 1231K->425K(1536K)] 7278K->6472K(9728K), 0.0010383 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.217: [GC (Allocation Failure) [PSYoungGen: 1232K->425K(1536K)] 7279K->6472K(9728K), 0.0031901 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.221: [GC (Allocation Failure) [PSYoungGen: 1233K->426K(1536K)] 7280K->6473K(9728K), 0.0016526 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.223: [GC (Allocation Failure) [PSYoungGen: 1234K->426K(1536K)] 7281K->6473K(9728K), 0.0008818 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
1.224: [GC (Allocation Failure) [PSYoungGen: 1235K->426K(1536K)] 7282K->6473K(9728K), 0.0016407 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.225: [GC (Allocation Failure) [PSYoungGen: 1236K->427K(1536K)] 7283K->6474K(9728K), 0.0009936 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
1.227: [GC (Allocation Failure) [PSYoungGen: 1237K->427K(1536K)] 7284K->6474K(9728K), 0.0018630 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.229: [GC (Allocation Failure) [PSYoungGen: 1238K->427K(1536K)] 7285K->6474K(9728K), 0.0013212 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.230: [GC (Allocation Failure) [PSYoungGen: 1239K->427K(1536K)] 7286K->6475K(9728K), 0.0009429 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.232: [GC (Allocation Failure) [PSYoungGen: 1240K->428K(1536K)] 7287K->6475K(9728K), 0.0015396 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
1.233: [GC (Allocation Failure) [PSYoungGen: 1241K->428K(1536K)] 7288K->6475K(9728K), 0.0010669 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
1.235: [GC (Allocation Failure) [PSYoungGen: 1242K->428K(1536K)] 7289K->6476K(9728K), 0.0021157 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.237: [GC (Allocation Failure) [PSYoungGen: 1243K->429K(1536K)] 7290K->6476K(9728K), 0.0024151 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.240: [GC (Allocation Failure) [PSYoungGen: 1244K->429K(1536K)] 7291K->6476K(9728K), 0.0018432 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.242: [GC (Allocation Failure) [PSYoungGen: 1244K->429K(1536K)] 7292K->6477K(9728K), 0.0019948 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
1.244: [GC (Allocation Failure) [PSYoungGen: 1245K->430K(1536K)] 7293K->6477K(9728K), 0.0015456 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.246: [GC (Allocation Failure) [PSYoungGen: 1246K->430K(1536K)] 7294K->6677K(9728K), 0.0009449 secs] [Times: user=0.01 sys=0.01, real=0.00 secs] 
1.247: [GC (Allocation Failure) [PSYoungGen: 1247K->430K(1536K)] 7494K->6677K(9728K), 0.0010678 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.248: [GC (Allocation Failure) [PSYoungGen: 1248K->431K(1536K)] 7495K->6677K(9728K), 0.0013524 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.250: [GC (Allocation Failure) [PSYoungGen: 1249K->431K(1536K)] 7496K->6677K(9728K), 0.0013945 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.251: [GC (Allocation Failure) [PSYoungGen: 1250K->431K(1536K)] 7497K->6678K(9728K), 0.0008920 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
1.252: [GC (Allocation Failure) [PSYoungGen: 1251K->432K(1536K)] 7498K->6678K(9728K), 0.0019429 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
1.255: [GC (Allocation Failure) [PSYoungGen: 1252K->432K(1536K)] 7499K->6678K(9728K), 0.0020004 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.257: [GC (Allocation Failure) [PSYoungGen: 1253K->432K(1536K)] 7500K->6679K(9728K), 0.0009847 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.258: [GC (Allocation Failure) [PSYoungGen: 1254K->433K(1536K)] 7501K->6679K(9728K), 0.0008428 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.259: [GC (Allocation Failure) [PSYoungGen: 1255K->433K(1536K)] 7502K->6679K(9728K), 0.0013804 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
1.261: [GC (Allocation Failure) [PSYoungGen: 1256K->433K(1536K)] 7503K->6680K(9728K), 0.0013647 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.262: [GC (Allocation Failure) [PSYoungGen: 1257K->434K(1536K)] 7503K->6881K(9728K), 0.0009852 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
1.264: [GC (Allocation Failure) [PSYoungGen: 1258K->434K(1536K)] 7705K->7083K(9728K), 0.0008459 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.265: [GC (Allocation Failure) [PSYoungGen: 1259K->434K(1536K)] 7908K->7083K(9728K), 0.0019328 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
1.267: [GC (Allocation Failure) [PSYoungGen: 1260K->435K(1536K)] 7909K->7083K(9728K), 0.0015279 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.268: [GC (Allocation Failure) [PSYoungGen: 1261K->435K(1536K)] 7910K->7084K(9728K), 0.0009198 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.270: [GC (Allocation Failure) [PSYoungGen: 1262K->435K(1536K)] 7910K->7084K(9728K), 0.0011655 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.271: [GC (Allocation Failure) [PSYoungGen: 1263K->435K(1536K)] 7911K->7084K(9728K), 0.0011072 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.272: [GC (Allocation Failure) [PSYoungGen: 1264K->436K(1536K)] 7912K->7084K(9728K), 0.0013861 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
1.274: [GC (Allocation Failure) [PSYoungGen: 1265K->436K(1536K)] 7913K->7287K(9728K), 0.0009496 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.275: [GC (Allocation Failure) [PSYoungGen: 1266K->436K(1536K)] 8117K->7287K(9728K), 0.0009681 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.276: [GC (Allocation Failure) [PSYoungGen: 1267K->437K(1536K)] 8118K->7288K(9728K), 0.0008876 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.277: [GC (Allocation Failure) [PSYoungGen: 1268K->437K(1536K)] 8119K->7288K(9728K), 0.0008931 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.278: [GC (Allocation Failure) [PSYoungGen: 1269K->437K(1536K)] 8120K->7288K(9728K), 0.0014044 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.280: [GC (Allocation Failure) [PSYoungGen: 1269K->438K(1536K)] 8120K->7289K(9728K), 0.0014336 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
1.282: [GC (Allocation Failure) [PSYoungGen: 1270K->438K(1536K)] 8121K->7289K(9728K), 0.0013092 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
1.283: [GC (Allocation Failure) [PSYoungGen: 1271K->438K(1536K)] 8122K->7493K(9728K), 0.0011544 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.285: [GC (Allocation Failure) [PSYoungGen: 1272K->439K(1536K)] 8327K->7493K(9728K), 0.0009288 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.286: [GC (Allocation Failure) [PSYoungGen: 1273K->439K(1536K)] 8328K->7493K(9728K), 0.0012221 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.287: [GC (Allocation Failure) [PSYoungGen: 1274K->439K(1536K)] 8329K->7494K(9728K), 0.0012912 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
1.289: [GC (Allocation Failure) [PSYoungGen: 1275K->440K(1536K)] 8330K->7494K(9728K), 0.0013247 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
